,symbol,date,volume,market.cap,sector,industry,exchange
157,TXG,27/04/2020,1117800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
158,TXG,28/04/2020,522200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
159,TXG,29/04/2020,1096200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
160,TXG,30/04/2020,577000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
161,TXG,01/05/2020,614000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
162,TXG,04/05/2020,360200,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
163,TXG,05/05/2020,664100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
164,TXG,06/05/2020,352100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
165,TXG,07/05/2020,599300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
166,TXG,08/05/2020,532900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
167,TXG,11/05/2020,786100,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
168,TXG,12/05/2020,1392400,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
169,TXG,13/05/2020,948600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
170,TXG,14/05/2020,1387800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
171,TXG,15/05/2020,520300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
172,TXG,18/05/2020,879500,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
173,TXG,19/05/2020,1019600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
174,TXG,20/05/2020,1054300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
175,TXG,21/05/2020,512800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
176,TXG,22/05/2020,1056000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
177,TXG,26/05/2020,690600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
178,TXG,27/05/2020,535600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
179,TXG,28/05/2020,357700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
180,TXG,29/05/2020,877000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
181,TXG,01/06/2020,1226700,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
182,TXG,02/06/2020,776600,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
183,TXG,03/06/2020,1656000,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
184,TXG,04/06/2020,1288300,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
185,TXG,05/06/2020,722800,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
186,TXG,08/06/2020,1183900,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
